PaperID,Model-Focused Only,Tool/Platform-Focused,Real-World Case Study or Application,Mentions Human/User Factors,Primary Focus on Cost Estimation
1148,No || Focuses on information acquisition approach rather than proposing or testing AI/ML models.,Yes || Describes a BIM-based approach for automatic cost estimation and construction information acquisition.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1149,No || Focuses on methodology and database development rather than AI/ML models.,Yes || Describes development of cost estimation software called Ingenix Cost Manager.,Yes || Based on company experience and mentions working on optimization of cost evaluation process in practice.,No || Not mentioned or unclear.,Yes
1150,No || Analyzes cost estimation mechanisms and systematic biases rather than proposing AI/ML models.,No || Not mentioned or unclear.,Yes || Studies 36 highway construction projects in Slovenia completed between 1995-2007 with actual cost performance data.,Yes || Discusses bidder behavior in tendering process and strategic misinterpretation by project sponsors.,Yes
1151,Yes || Proposes an enhanced online LS-SVM model with EMD algorithm for building materials price prediction with simulation results.,No || Not mentioned or unclear.,No || Only mentions simulation results without real-world implementation or actual project data.,No || Not mentioned or unclear.,Yes
1152,No || Focuses on time standards and process planning rather than AI/ML models for cost prediction.,Yes || Describes a CAPP system with integrated Excel spreadsheets for automatic time estimation.,Yes || Includes Motion and Time Study validation and mentions helping process planners and production management in CSB industry.,No || Not mentioned or unclear.,No || Primary focus is on time standards and process planning rather than cost estimation specifically.
1153,Yes || Proposes and analyzes different neural network types (multilayer perceptron and radial basis function networks) for cost prediction with research results.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1154,Yes || Develops analytical correlations for sizing and quantity estimation with verification against simulation results.,No || Not mentioned or unclear.,Yes || Results were verified with data collected from recently developed SHP projects.,No || Not mentioned or unclear.,Yes
1155,No || Not mentioned or unclear.,Yes || Describes BIM technology as a platform for cost estimation among other functions.,Yes || Includes semi-structured interviews with consultants from two actual government construction projects (NCI Malaysia and Sultan Ibrahim Hall).,Yes || Conducted interviews with project consultants and BIM consultants about BIM implementation and acceptance.,No
1156,No || Focuses on ontology-based knowledge representation framework rather than AI/ML models for prediction.,Yes || Describes an ontology-based representation framework system for establishing cost analysis knowledge base.,Yes || Validated using actual cost analysis information from eight real construction cases.,No || Not mentioned or unclear.,Yes
1157,Yes || Proposes a schematic estimating model (Q-BASE) that addresses market price fluctuations and decreases cost estimation errors.,No || Not mentioned or unclear.,Yes || Applied to cost estimating for building skeleton work of a mixed-use residential building project for model validation.,No || Not mentioned or unclear.,Yes
1158,No || Focuses on risk monitoring and sensor data analysis rather than AI/ML cost prediction models.,Yes || Describes web-based modular technology platforms that integrate cost estimation data with other systems.,Yes || Discusses implementation for actual tunnelling works with real sensor networks and monitoring systems.,No || Not mentioned or unclear.,No || Primary focus is on risk assessment and safety monitoring with cost estimation as a minor component.
1159,Yes || Proposes Monte Carlo Method and probability functions for cost estimation and risk analysis with simulation results.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || States that strategies are applicable by professionals and addresses engineer discomfort with incomplete data.,Yes
1160,Yes || Develops a case-based reasoning approach and probability estimation model for optimal sizing with improved prediction accuracy.,Yes || Describes a decision support system for determining optimal ESA size with computational optimization capabilities.,Yes || Uses data from 106 actual expressway service areas and addresses real problem of 31 ESAs that closed due to financial deficits.,No || Not mentioned or unclear.,No || Primary focus is on optimal sizing and profitability of expressway service areas with cost estimation as a secondary component.
1161,No || Focuses on knowledge-based framework rather than AI/ML model development.,Yes || Describes a knowledge-based system framework for BIM-based quantity takeoff and cost estimation with domain and interface layers.,No || Examples mentioned but no actual implementation or field testing described.,Yes || Explicitly discusses estimators' distrust of BIM operations and adoption difficulties in construction companies.,Yes
